"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"30/06/2026","127,16","127,46","127,68","127,16","1,17M","-0,20%"
"29/06/2026","127,41","127,40","127,51","127,29","730,47K","-0,05%"
"26/06/2026","127,47","127,26","127,64","127,25","904,39K","0,08%"
"25/06/2026","127,37","127,28","127,53","127,20","933,48K","0,06%"
"24/06/2026","127,29","126,72","127,38","126,67","1,08M","0,38%"
"23/06/2026","126,81","126,41","126,91","126,41","960,65K","0,27%"
"22/06/2026","126,47","126,02","126,53","126,01","867,37K","0,30%"
"19/06/2026","126,09","126,53","126,56","126,02","793,66K","-0,53%"
"18/06/2026","126,76","126,55","126,78","126,47","1,04M","0,10%"
"17/06/2026","126,63","126,57","126,80","126,31","998,51K","0,09%"
"16/06/2026","126,51","126,20","126,74","126,18","940,81K","0,12%"
"15/06/2026","126,36","126,38","126,52","126,22","895,67K","0,37%"
"12/06/2026","125,90","126,01","126,29","125,70","1,25M","0,21%"
"11/06/2026","125,63","124,95","126,15","124,88","1,19M","0,34%"
"10/06/2026","125,20","125,39","125,47","124,88","1,21M","-0,11%"
"09/06/2026","125,34","125,14","125,55","125,04","1,27M","0,10%"
"08/06/2026","125,21","125,33","125,53","125,11","5,75K","-0,21%"
"05/06/2026","125,47","125,57","125,72","125,32","192,61K","-0,11%"
"04/06/2026","125,61","125,50","125,76","125,40","1,08M","0,07%"
"03/06/2026","125,52","126,00","126,03","125,40","2,25M","-0,41%"
"02/06/2026","126,04","126,02","126,32","125,93","2,17M","0,21%"
"01/06/2026","125,78","126,25","126,30","125,64","924,93K","-0,56%"
"29/05/2026","126,49","126,16","126,54","126,05","1,79M","0,24%"
"28/05/2026","126,19","125,80","126,47","125,53","1,38M","0,17%"
"27/05/2026","125,97","126,11","126,30","125,84","1,34M","-0,02%"
"26/05/2026","125,99","126,26","126,26","125,92","1,33M","-0,27%"
"25/05/2026","126,33","125,78","126,48","125,72","749,83K","0,73%"
"22/05/2026","125,41","125,13","125,57","125,06","1,16M","0,48%"
"21/05/2026","124,81","124,83","125,33","124,60","1,49M","0,06%"
"20/05/2026","124,73","123,97","125,12","123,86","1,51M","0,62%"
"19/05/2026","123,96","124,37","124,41","123,81","1,37M","-0,18%"
"18/05/2026","124,18","123,91","124,54","123,74","1,46M","-0,07%"
"15/05/2026","124,27","125,00","125,03","123,92","1,18M","-0,75%"
"14/05/2026","125,21","124,83","125,34","124,80","896,94K","0,42%"
"13/05/2026","124,69","124,63","124,91","124,57","1,05M","-0,06%"
"12/05/2026","124,76","125,19","125,20","124,64","1,24M","-0,42%"
"11/05/2026","125,28","125,55","125,62","125,18","820,57K","-0,34%"
"08/05/2026","125,71","125,52","125,83","125,50","841,75K","-0,10%"
"07/05/2026","125,83","125,76","126,14","125,40","1,31M","0,10%"
"06/05/2026","125,70","125,18","126,05","125,08","1,76M","0,62%"
"05/05/2026","124,93","124,91","125,11","124,74","1,08M","-0,05%"
"04/05/2026","124,99","125,39","125,51","124,68","918,54K","-0,30%"
"30/04/2026","125,36","124,56","125,46","124,40","1,60M","0,49%"
"29/04/2026","124,75","125,06","125,16","124,47","1,20M","-0,30%"
"28/04/2026","125,13","125,36","125,36","124,84","1,33M","-0,18%"
"27/04/2026","125,35","125,60","125,73","125,21","830,48K","-0,22%"
"24/04/2026","125,63","125,35","125,84","125,20","1,16M","0,02%"
"23/04/2026","125,60","125,30","125,71","124,99","1,17M","-0,09%"
"22/04/2026","125,71","125,51","125,84","125,48","1,03M","0,02%"
